Date:,9/26/2022,,,,,,,,
Time:,1:43 PM,,,,,,,,
Summary Notes:,Flat_Plate_Angle_NoVelocity,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data Timestamp,q,V_ref,Alpha,NF/SF,AF/AF2,PM/YM,P,Orientation,Notes
[yyyymmdd hh:mm:ss.sss],[psf],[mph],[deg],[lbf],[lbf],[in-lbf],[inH2O],,
20220926 13:43:12.640,0,2,20.4,0.04,0.14,-0.02,0,Normal,
20220926 13:43:12.750,0,0,20.2,0.01,0.14,0,0,Normal,
20220926 13:43:12.859,0,4,19.9,0.02,0.13,0,0,Normal,
20220926 13:43:12.968,0,3,19.9,0.01,0.13,-0.03,0,Normal,
20220926 13:43:13.078,0,0,19.7,0.02,0.12,-0.01,0,Normal,
20220926 13:43:13.187,0,2,19.4,0.02,0.14,-0.06,0,Normal,
20220926 13:43:13.296,0,2,19.4,0.02,0.13,-0.03,0,Normal,
20220926 13:43:13.421,0,4,19.3,0.03,0.14,-0.03,0,Normal,
20220926 13:43:13.531,0,2,19.2,0.03,0.13,0,0,Normal,
20220926 13:43:13.640,0,4,19,0.03,0.13,0.01,0,Normal,
20220926 13:43:13.750,0.1,5,19,0.03,0.14,0,0,Normal,
20220926 13:43:13.859,0,3,19,0.03,0.12,0.01,0,Normal,
20220926 13:43:13.968,0,2,19,0.02,0.13,0,0,Normal,
20220926 13:43:14.078,0,2,18.8,0.01,0.12,0,0,Normal,
20220926 13:43:14.187,0,2,18.3,0,0.13,0.02,0,Normal,
20220926 13:43:14.296,0,3,18.3,0.02,0.14,0,0,Normal,
20220926 13:43:14.406,0,4,18.1,0.03,0.13,-0.04,0,Normal,
20220926 13:43:14.515,0,4,18,0.03,0.11,-0.01,0,Normal,
20220926 13:43:14.625,0,4,17.9,0.02,0.13,-0.03,0,Normal,
20220926 13:43:14.750,0,1,17.4,0.03,0.12,-0.04,0,Normal,
20220926 13:43:14.859,0,2,17.4,0.01,0.12,-0.04,0,Normal,
20220926 13:43:14.968,0,2,17.4,0.04,0.12,0,0,Normal,
20220926 13:43:15.078,0,3,17.4,0.01,0.13,0.01,0,Normal,
20220926 13:43:15.187,0,3,17.4,0.04,0.13,0,0,Normal,
20220926 13:43:15.296,0,3,17.1,0.03,0.13,0.01,0,Normal,
20220926 13:43:15.406,0,4,17.1,0.04,0.11,-0.02,0,Normal,
20220926 13:43:15.515,0,2,17.1,0.03,0.12,-0.04,0,Normal,
20220926 13:43:15.625,0,3,16.8,0,0.11,-0.02,0,Normal,
20220926 13:43:15.734,0,1,16.7,0,0.12,-0.04,0,Normal,
20220926 13:43:15.843,0,3,16.6,0,0.11,0,0,Normal,
20220926 13:43:15.953,0,1,16.3,0,0.12,-0.02,0,Normal,
20220926 13:43:16.078,0.1,5,16,-0.01,0.12,-0.03,0,Normal,
20220926 13:43:16.187,0,1,15.9,0.02,0.1,-0.04,0,Normal,
20220926 13:43:16.296,0,4,15.9,0,0.12,-0.02,0,Normal,
20220926 13:43:16.406,0,1,15.8,0.02,0.11,0.01,0,Normal,
20220926 13:43:16.515,0,0,15.7,0.02,0.11,-0.01,0,Normal,
20220926 13:43:16.625,0,1,15.6,0.01,0.12,-0.03,0,Normal,
20220926 13:43:16.734,0,3,15.6,0.01,0.11,-0.02,0,Normal,
20220926 13:43:16.843,0,3,15.5,0.01,0.1,-0.01,0,Normal,
20220926 13:43:16.953,0,2,15.4,0,0.1,-0.02,0,Normal,
20220926 13:43:17.062,0,2,15.3,0.01,0.1,-0.02,0,Normal,
20220926 13:43:17.171,0,2,15.2,0,0.11,-0.02,0,Normal,
20220926 13:43:17.281,0,2,15.1,0.03,0.11,-0.03,0,Normal,
20220926 13:43:17.406,0.1,4,14.9,0.03,0.1,0.02,0,Normal,
20220926 13:43:17.515,0,4,14.9,0.01,0.11,-0.01,0,Normal,
20220926 13:43:17.625,0,4,14.6,0.01,0.1,0,0,Normal,
20220926 13:43:17.734,0,1,14.3,0.03,0.1,0.01,0,Normal,
20220926 13:43:17.843,0,3,14.3,0.01,0.11,-0.02,0,Normal,
20220926 13:43:17.953,0,1,14.3,0.02,0.1,-0.01,0,Normal,
20220926 13:43:18.062,0,2,14.3,0,0.11,-0.01,0,Normal,
20220926 13:43:18.171,0,2,14.1,0,0.1,-0.01,0,Normal,
20220926 13:43:18.281,0,2,14,0,0.11,-0.02,0,Normal,
20220926 13:43:18.390,0,4,13.7,0.01,0.1,-0.03,0,Normal,
20220926 13:43:18.500,0,2,13.6,0.01,0.1,-0.02,0,Normal,
